iter	Passed	Remaining
0	52	6275
1	59	3525
2	63	2462
3	69	2015
4	74	1720
5	81	1542
6	86	1403
7	91	1282
8	97	1207
9	102	1127
10	113	1127
11	117	1059
12	119	983
13	123	933
14	127	895
15	132	861
16	137	830
17	149	844
18	153	816
19	157	787
20	161	761
21	174	775
22	178	753
23	181	724
24	184	701
25	188	681
26	193	667
27	217	713
28	229	718
29	235	707
30	240	691
31	245	673
32	250	660
33	255	647
34	260	632
35	266	620
36	292	655
37	305	659
38	314	653
39	320	640
40	327	630
41	343	637
42	348	623
43	353	609
44	363	606
45	368	592
46	372	578
47	377	565
48	380	551
49	384	538
50	387	524
51	393	514
52	400	505
53	402	491
54	405	478
55	408	466
56	412	455
57	415	444
58	418	432
59	422	422
60	426	412
61	428	401
62	431	390
63	433	379
64	436	369
65	444	363
66	447	354
67	456	348
68	460	340
69	464	331
70	468	323
71	470	313
72	474	305
73	478	297
74	482	289
75	485	281
76	488	272
77	491	264
78	496	257
79	500	250
80	506	243
81	512	237
82	518	231
83	523	224
84	526	216
85	530	209
86	534	202
87	541	196
88	545	189
89	549	183
90	556	177
91	559	170
92	563	163
93	565	156
94	569	149
95	574	143
96	578	137
97	583	130
98	587	124
99	591	118
100	594	111
101	600	105
102	603	99
103	606	93
104	610	87
105	615	81
106	619	75
107	623	69
108	627	63
109	631	57
110	635	51
111	644	46
112	648	40
113	651	34
114	655	28
115	658	22
116	661	16
117	663	11
118	666	5
119	668	0
