iter	Accuracy	Logloss
0	0.7972270364	0.6766912848
1	0.8006932409	0.6631749856
2	0.8370883882	0.6487853877
3	0.856152513	0.6315554577
4	0.8526863085	0.6164659852
5	0.8474870017	0.5993804074
6	0.8388214905	0.5889121382
7	0.8370883882	0.5731949378
8	0.8388214905	0.562968856
9	0.8405545927	0.546505004
10	0.8440207972	0.5340567904
11	0.8474870017	0.5214017338
12	0.8457538995	0.5128250334
13	0.8405545927	0.5017838583
14	0.8405545927	0.4922938163
15	0.8405545927	0.4830326261
16	0.8405545927	0.4776647681
17	0.842287695	0.4680024825
18	0.8440207972	0.4616847283
19	0.8474870017	0.4515255154
20	0.8509532062	0.4432064095
21	0.8509532062	0.4358710191
22	0.8474870017	0.4330806737
23	0.849220104	0.4282671895
24	0.8509532062	0.4206324895
25	0.849220104	0.4155667782
26	0.8544194107	0.4084437748
27	0.8544194107	0.4031137437
28	0.8596187175	0.3975326337
29	0.863084922	0.391243832
30	0.8648180243	0.3841133293
31	0.8682842288	0.3779694905
32	0.8682842288	0.3759242621
33	0.8717504333	0.3712111806
34	0.8734835355	0.3665122457
35	0.8734835355	0.3615535109
36	0.8752166378	0.3568886952
37	0.8752166378	0.3512207804
38	0.8752166378	0.348416815
39	0.8752166378	0.3443300838
40	0.8786828423	0.3390443401
41	0.8804159445	0.3359683185
42	0.8856152513	0.3325157758
43	0.8873483536	0.3294884158
44	0.8890814558	0.3274240218
45	0.8890814558	0.3247233006
46	0.8908145581	0.3236742056
47	0.8925476603	0.3195056177
48	0.8960138648	0.315709775
49	0.8942807626	0.3139524741
50	0.8960138648	0.3119052204
51	0.8977469671	0.3093125317
52	0.8960138648	0.3067559752
53	0.8977469671	0.3032833891
54	0.8977469671	0.3005545503
55	0.8977469671	0.298287744
56	0.8977469671	0.2953823431
57	0.8994800693	0.2946719293
58	0.8994800693	0.2943868349
59	0.9012131716	0.2922236464
60	0.9029462738	0.2906861557
61	0.9029462738	0.2887284438
62	0.9046793761	0.287289655
63	0.9046793761	0.2856792016
64	0.9046793761	0.2850116959
65	0.9046793761	0.2847843461
66	0.9046793761	0.2835825048
67	0.9046793761	0.2816875181
68	0.9046793761	0.279279234
69	0.9064124783	0.2773834025
70	0.9046793761	0.2752639295
71	0.9081455806	0.2722906649
72	0.9081455806	0.2721723586
73	0.9064124783	0.2711732077
74	0.9064124783	0.2694808912
75	0.9098786828	0.2675211697
76	0.9098786828	0.2665712909
77	0.9098786828	0.2659707508
78	0.9098786828	0.2651643016
79	0.9098786828	0.2644406864
80	0.9116117851	0.2626617313
81	0.9116117851	0.2624152516
82	0.9133448873	0.2616402173
83	0.9116117851	0.2598686505
84	0.9116117851	0.2586353417
85	0.9116117851	0.258539136
86	0.9116117851	0.2577237722
87	0.9116117851	0.2570191954
88	0.9116117851	0.2568934521
89	0.9116117851	0.2566763102
90	0.9116117851	0.2560650368
91	0.9116117851	0.2553397019
92	0.9150779896	0.2536567438
93	0.9133448873	0.2532117063
94	0.9133448873	0.2515492874
95	0.9133448873	0.2504502674
96	0.9133448873	0.2500946165
97	0.9133448873	0.2485511284
98	0.9133448873	0.2484795189
99	0.9133448873	0.2472038621
100	0.9133448873	0.2456245648
101	0.9150779896	0.2449624306
102	0.9150779896	0.2438746549
103	0.9150779896	0.2437767162
104	0.9168110919	0.2434458355
105	0.9168110919	0.2428652057
106	0.9168110919	0.2425797725
107	0.9168110919	0.2421658029
108	0.9168110919	0.2418242928
109	0.9168110919	0.2417156068
110	0.9168110919	0.2411624416
111	0.9220103986	0.2403987233
112	0.9202772964	0.2396952746
113	0.9202772964	0.2395478156
114	0.9202772964	0.2395478037
115	0.9202772964	0.2394796948
116	0.9202772964	0.2385014506
117	0.9202772964	0.2382735432
118	0.9202772964	0.2372834994
119	0.9220103986	0.2356752364
