iter	Passed	Remaining
0	4	571
1	8	480
2	12	476
3	15	461
4	19	458
5	23	446
6	27	439
7	29	414
8	32	404
9	41	455
10	45	449
11	49	441
12	52	431
13	56	425
14	62	438
15	65	427
16	69	421
17	74	419
18	80	429
19	87	436
20	90	427
21	94	420
22	96	408
23	99	399
24	106	403
25	109	396
26	118	406
27	120	397
28	124	389
29	128	386
30	133	382
31	137	379
32	139	367
33	144	365
34	147	357
35	150	351
36	153	343
37	156	336
38	158	329
39	162	324
40	164	317
41	167	311
42	170	305
43	182	315
44	185	309
45	194	313
46	198	308
47	202	304
48	210	304
49	214	299
50	217	294
51	222	291
52	226	285
53	229	280
54	232	274
55	240	275
56	244	270
57	247	264
58	249	257
59	252	252
60	256	247
61	259	243
62	263	238
63	267	233
64	270	228
65	272	223
66	275	217
67	277	212
68	280	207
69	283	202
70	285	196
71	287	191
72	288	186
73	291	181
74	293	176
75	296	171
76	299	167
77	302	162
78	305	158
79	308	154
80	311	149
81	313	145
82	316	140
83	319	136
84	322	132
85	324	128
86	327	124
87	329	119
88	331	115
89	335	111
90	339	108
91	343	104
92	347	100
93	351	97
94	355	93
95	359	89
96	363	86
97	369	83
98	373	79
99	377	75
100	380	71
101	384	67
102	388	64
103	391	60
104	396	56
105	400	52
106	403	49
107	406	45
108	409	41
109	412	37
110	415	33
111	418	29
112	421	26
113	424	22
114	426	18
115	429	14
116	432	11
117	435	7
118	438	3
119	442	0
