iter	Passed	Remaining
0	9	1107
1	13	810
2	17	694
3	21	633
4	24	574
5	28	550
6	31	501
7	34	480
8	37	462
9	41	451
10	43	433
11	47	423
12	50	415
13	53	405
14	57	400
15	60	391
16	63	385
17	67	384
18	72	386
19	76	381
20	78	367
21	81	360
22	84	355
23	87	350
24	92	351
25	109	396
26	116	402
27	122	401
28	129	405
29	134	404
30	136	392
31	140	387
32	146	386
33	150	381
34	155	377
35	159	372
36	164	368
37	168	364
38	171	355
39	174	348
40	177	342
41	181	336
42	182	327
43	188	325
44	192	320
45	205	330
46	208	324
47	212	318
48	215	312
49	219	306
50	226	305
51	230	300
52	233	295
53	237	289
54	240	284
55	243	278
56	247	273
57	251	268
58	265	274
59	269	269
60	272	264
61	276	258
62	279	252
63	282	247
64	290	245
65	295	241
66	302	239
67	308	236
68	310	229
69	315	225
70	317	219
71	320	213
72	323	208
73	326	202
74	329	197
75	332	192
76	345	192
77	348	187
78	353	183
79	363	181
80	368	177
81	371	172
82	378	168
83	383	164
84	389	160
85	395	156
86	401	152
87	408	148
88	411	143
89	415	138
90	416	132
91	420	127
92	424	123
93	426	118
94	429	113
95	432	108
96	435	103
97	437	98
98	441	93
99	447	89
100	455	85
101	467	82
102	469	77
103	473	72
104	475	67
105	483	63
106	487	59
107	510	56
108	514	51
109	517	47
110	520	42
111	523	37
112	535	33
113	538	28
114	541	23
115	545	18
116	549	14
117	588	9
118	598	5
119	600	0
