iter	Passed	Remaining
0	4	586
1	8	489
2	12	485
3	15	463
4	22	509
5	49	935
6	51	829
7	54	768
8	59	730
9	64	714
10	69	688
11	74	671
12	82	682
13	88	671
14	92	644
15	96	624
16	102	618
17	105	599
18	110	587
19	114	570
20	118	560
21	127	569
22	133	563
23	138	552
24	142	542
25	158	572
26	162	560
27	168	552
28	211	663
29	219	658
30	223	641
31	231	636
32	240	633
33	255	647
34	264	641
35	266	622
36	271	609
37	291	628
38	297	617
39	311	623
40	321	619
41	327	608
42	348	624
43	529	913
44	535	892
45	725	1167
46	731	1136
47	738	1107
48	805	1166
49	807	1130
50	811	1097
51	814	1065
52	818	1035
53	820	1003
54	823	973
55	827	945
56	829	917
57	834	891
58	837	865
59	840	840
60	843	816
61	846	792
62	850	769
63	853	747
64	855	724
65	858	702
66	862	682
67	865	661
68	869	642
69	872	623
70	875	604
71	878	585
72	882	568
73	886	550
74	890	534
75	895	518
76	901	503
77	904	487
78	908	471
79	911	455
80	914	440
81	931	431
82	935	417
83	968	415
84	971	400
85	975	385
86	978	371
87	980	356
88	982	342
89	985	328
90	988	315
91	991	301
92	995	288
93	997	275
94	1000	263
95	1003	250
96	1006	238
97	1010	226
98	1012	214
99	1015	203
100	1018	191
101	1021	180
102	1025	169
103	1028	158
104	1031	147
105	1034	136
106	1037	126
107	1039	115
108	1042	105
109	1045	95
110	1048	85
111	1051	75
112	1054	65
113	1057	55
114	1060	46
115	1064	36
116	1067	27
117	1070	18
118	1073	9
119	1077	0
