iter	Passed	Remaining
0	5	667
1	11	697
2	19	746
3	23	692
4	29	669
5	33	642
6	37	602
7	41	577
8	46	575
9	51	566
10	56	555
11	61	557
12	67	554
13	75	568
14	80	565
15	86	563
16	92	561
17	97	549
18	103	548
19	107	536
20	111	523
21	115	514
22	119	504
23	123	494
24	128	487
25	135	488
26	140	483
27	145	477
28	149	468
29	152	456
30	155	446
31	160	441
32	163	432
33	166	421
34	169	412
35	172	402
36	175	392
37	177	383
38	180	375
39	184	368
40	185	358
41	189	351
42	191	343
43	194	336
44	197	328
45	202	325
46	205	319
47	209	313
48	212	307
49	214	300
50	217	294
51	221	289
52	224	283
53	226	276
54	229	270
55	231	264
56	234	259
57	236	253
58	239	247
59	242	242
60	246	238
61	248	232
62	250	226
63	252	220
64	255	215
65	257	210
66	259	205
67	264	202
68	266	196
69	269	192
70	271	187
71	279	186
72	283	182
73	286	178
74	290	174
75	294	170
76	298	166
77	302	162
78	305	158
79	308	154
80	311	149
81	314	145
82	316	141
83	319	136
84	323	133
85	325	128
86	328	124
87	342	124
88	344	119
89	347	115
90	356	113
91	360	109
92	365	106
93	367	101
94	371	97
95	373	93
96	379	90
97	385	86
98	390	82
99	393	78
100	399	75
101	401	70
102	404	66
103	407	62
104	410	58
105	413	54
106	415	50
107	417	46
108	419	42
109	423	38
110	426	34
111	429	30
112	431	26
113	434	22
114	438	19
115	441	15
116	443	11
117	447	7
118	451	3
119	453	0
