iter	Accuracy	Logloss
0	0.8145580589	0.6758969905
1	0.8596187175	0.6538627647
2	0.8752166378	0.6354073009
3	0.8682842288	0.6218153217
4	0.8648180243	0.6034504531
5	0.863084922	0.5880424131
6	0.8526863085	0.5780789446
7	0.8509532062	0.5650076449
8	0.8440207972	0.5572593979
9	0.8405545927	0.5432950387
10	0.8405545927	0.5342744558
11	0.842287695	0.521524759
12	0.8370883882	0.515323464
13	0.8388214905	0.5056688077
14	0.8440207972	0.4965634144
15	0.8405545927	0.4898843903
16	0.842287695	0.4776133644
17	0.8388214905	0.4688686625
18	0.8370883882	0.4588411602
19	0.8440207972	0.4479992299
20	0.8457538995	0.4397739608
21	0.8457538995	0.4335980929
22	0.8526863085	0.4245502998
23	0.8544194107	0.4153942836
24	0.8578856153	0.409023758
25	0.8578856153	0.4017522146
26	0.8596187175	0.3944353315
27	0.8613518198	0.3881960601
28	0.8613518198	0.3847496673
29	0.863084922	0.3786202926
30	0.8648180243	0.3740409821
31	0.8717504333	0.3710720199
32	0.8734835355	0.3662567345
33	0.8734835355	0.3602802669
34	0.87694974	0.3549451088
35	0.8786828423	0.3503319659
36	0.8856152513	0.3451618756
37	0.8856152513	0.340565146
38	0.8890814558	0.3365561086
39	0.8908145581	0.3337698322
40	0.8925476603	0.329373078
41	0.8925476603	0.3260895517
42	0.8942807626	0.3223645772
43	0.8977469671	0.3186723409
44	0.8960138648	0.3155239518
45	0.8977469671	0.3120248729
46	0.8977469671	0.3098994323
47	0.8977469671	0.3096256093
48	0.8994800693	0.3069161954
49	0.9012131716	0.3032399966
50	0.9029462738	0.3011979882
51	0.9029462738	0.2992851408
52	0.9029462738	0.2975114574
53	0.9029462738	0.2958559021
54	0.9046793761	0.293974019
55	0.9046793761	0.2908690758
56	0.9046793761	0.2888405562
57	0.9046793761	0.287182186
58	0.9046793761	0.2852432627
59	0.9046793761	0.2833629983
60	0.9046793761	0.2812571315
61	0.9046793761	0.2797035935
62	0.9046793761	0.2775261548
63	0.9064124783	0.2757609636
64	0.9064124783	0.2738161697
65	0.9046793761	0.2735238233
66	0.9046793761	0.2726426583
67	0.9081455806	0.2710469003
68	0.9081455806	0.2699421726
69	0.9081455806	0.2685674231
70	0.9081455806	0.2669726085
71	0.9081455806	0.2658091472
72	0.9116117851	0.2642709151
73	0.9116117851	0.2631838946
74	0.9081455806	0.2620002772
75	0.9098786828	0.2618849942
76	0.9116117851	0.2607700305
77	0.9133448873	0.2600996814
78	0.9133448873	0.2586154638
79	0.9150779896	0.2581204505
80	0.9185441941	0.2569141352
81	0.9185441941	0.2554429417
82	0.9185441941	0.2537132994
83	0.9185441941	0.2534040989
84	0.9185441941	0.2532618067
85	0.9185441941	0.2528067436
86	0.9185441941	0.2522163211
87	0.9185441941	0.2509910096
88	0.9220103986	0.2496117358
89	0.9220103986	0.2495358017
90	0.9237435009	0.2479088632
91	0.9237435009	0.2472239641
92	0.9237435009	0.2468096326
93	0.9237435009	0.2459124328
94	0.9254766031	0.2442978149
95	0.9237435009	0.2436516231
96	0.9272097054	0.2413414156
97	0.9289428076	0.2407385581
98	0.9289428076	0.2406816501
99	0.9272097054	0.2392952283
100	0.9289428076	0.2385652267
101	0.9289428076	0.2377907014
102	0.9306759099	0.236312546
103	0.9306759099	0.2354052401
104	0.9306759099	0.2340406107
105	0.9324090121	0.2330892265
106	0.9324090121	0.2327648602
107	0.9341421144	0.2316170511
108	0.9341421144	0.2307642929
109	0.9341421144	0.2303974322
110	0.9341421144	0.229286716
111	0.9341421144	0.2291645894
112	0.9341421144	0.2291154631
113	0.9341421144	0.2279498883
114	0.9341421144	0.2276646171
115	0.9341421144	0.2274587517
116	0.9341421144	0.2273935215
117	0.9341421144	0.2265543107
118	0.9341421144	0.2254314266
119	0.9341421144	0.2253901449
