iter	Passed	Remaining
0	3	413
1	6	381
2	9	367
3	12	360
4	15	354
5	19	362
6	22	364
7	25	355
8	26	332
9	30	332
10	33	331
11	37	333
12	40	333
13	43	332
14	47	333
15	50	331
16	54	329
17	56	321
18	59	318
19	63	319
20	67	318
21	70	312
22	74	314
23	78	313
24	81	311
25	85	308
26	88	304
27	91	300
28	93	293
29	97	291
30	101	292
31	104	288
32	108	285
33	112	283
34	115	280
35	119	278
36	123	276
37	127	274
38	129	269
39	132	264
40	134	259
41	136	253
42	138	248
43	140	243
44	143	238
45	145	234
46	149	232
47	151	226
48	154	224
49	157	220
50	161	218
51	166	217
52	170	216
53	174	212
54	177	209
55	180	206
56	183	202
57	187	200
58	191	197
59	198	198
60	204	197
61	207	194
62	212	192
63	215	188
64	219	185
65	222	182
66	227	180
67	231	176
68	234	173
69	238	170
70	243	168
71	249	166
72	254	164
73	259	161
74	263	157
75	267	154
76	270	151
77	274	147
78	277	144
79	281	140
80	284	137
81	288	133
82	291	129
83	294	126
84	297	122
85	299	118
86	304	115
87	307	111
88	311	108
89	313	104
90	317	101
91	321	97
92	324	94
93	328	90
94	331	87
95	334	83
96	337	79
97	340	76
98	345	73
99	349	69
100	352	66
101	354	62
102	358	59
103	361	55
104	364	52
105	366	48
106	371	45
107	374	41
108	378	38
109	382	34
110	385	31
111	388	27
112	391	24
113	395	20
114	397	17
115	401	13
116	403	10
117	406	6
118	408	3
119	410	0
