iter	Passed	Remaining
0	20	2438
1	30	1786
2	48	1904
3	53	1544
4	58	1337
5	63	1200
6	68	1108
7	71	1001
8	73	912
9	78	865
10	84	834
11	88	799
12	90	747
13	95	722
14	99	693
15	102	665
16	105	640
17	108	615
18	114	606
19	119	596
20	124	584
21	136	605
22	139	587
23	147	589
24	152	577
25	185	670
26	197	680
27	203	669
28	209	658
29	214	644
30	219	630
31	224	617
32	229	606
33	235	595
34	240	584
35	245	572
36	250	561
37	254	550
38	266	554
39	269	539
40	273	526
41	276	513
42	279	501
43	283	489
44	286	477
45	289	466
46	304	473
47	310	466
48	316	458
49	338	473
50	346	468
51	349	457
52	353	446
53	356	435
54	360	425
55	364	416
56	374	413
57	377	403
58	380	393
59	384	384
60	395	382
61	398	372
62	406	367
63	418	366
64	421	357
65	427	349
66	430	340
67	433	331
68	437	323
69	441	315
70	444	306
71	447	298
72	450	289
73	453	281
74	457	274
75	460	266
76	464	259
77	470	253
78	478	248
79	510	255
80	512	246
81	521	241
82	525	234
83	527	225
84	530	218
85	535	211
86	538	204
87	541	196
88	545	189
89	549	183
90	556	177
91	561	170
92	566	164
93	572	158
94	577	152
95	583	145
96	589	139
97	594	133
98	599	127
99	604	120
100	608	114
101	611	107
102	614	101
103	617	95
104	621	88
105	626	82
106	631	76
107	636	70
108	645	65
109	650	59
110	653	53
111	655	46
112	660	40
113	664	34
114	671	29
115	675	23
116	680	17
117	698	11
118	704	5
119	709	0
