iter	Passed	Remaining
0	3	423
1	6	395
2	9	384
3	12	364
4	14	343
5	17	334
6	20	325
7	23	325
8	26	325
9	29	328
10	33	330
11	38	346
12	42	346
13	45	344
14	49	343
15	52	338
16	55	334
17	58	332
18	61	327
19	65	325
20	68	322
21	71	318
22	74	312
23	76	306
24	79	303
25	81	295
26	84	292
27	88	291
28	91	287
29	94	283
30	97	278
31	98	271
32	101	267
33	104	264
34	107	260
35	110	257
36	112	252
37	115	248
38	118	245
39	121	242
40	124	240
41	126	234
42	129	232
43	132	229
44	134	224
45	138	222
46	141	219
47	143	215
48	146	212
49	148	208
50	151	204
51	153	200
52	156	197
53	158	193
54	161	190
55	163	187
56	166	183
57	167	179
58	169	174
59	170	170
60	172	166
61	173	162
62	175	158
63	177	154
64	178	151
65	179	147
66	181	143
67	182	139
68	184	136
69	185	132
70	187	129
71	188	125
72	189	122
73	192	119
74	193	116
75	194	112
76	196	109
77	198	106
78	199	103
79	200	100
80	202	97
81	203	94
82	204	91
83	207	88
84	208	85
85	210	83
86	213	80
87	215	78
88	218	76
89	219	73
90	222	70
91	225	68
92	228	66
93	230	63
94	232	61
95	233	58
96	236	55
97	238	53
98	241	51
99	243	48
100	244	46
101	246	43
102	249	41
103	251	38
104	252	36
105	253	33
106	255	30
107	256	28
108	257	26
109	258	23
110	260	21
111	261	18
112	263	16
113	264	13
114	266	11
115	267	9
116	268	6
117	271	4
118	272	2
119	273	0
