iter	Passed	Remaining
0	3	444
1	7	420
2	9	389
3	12	375
4	16	386
5	20	390
6	22	368
7	24	341
8	27	333
9	30	338
10	38	382
11	42	381
12	45	375
13	48	370
14	51	362
15	54	356
16	56	345
17	60	340
18	63	336
19	66	333
20	69	328
21	72	324
22	76	321
23	78	313
24	81	311
25	85	308
26	88	305
27	92	302
28	94	296
29	98	294
30	99	286
31	101	279
32	104	275
33	107	272
34	110	268
35	113	265
36	116	261
37	120	259
38	122	255
39	125	250
40	129	248
41	130	243
42	134	240
43	136	236
44	138	231
45	142	229
46	145	225
47	149	224
48	152	221
49	154	216
50	157	213
51	160	209
52	163	206
53	166	203
54	168	199
55	172	196
56	177	196
57	182	195
58	185	192
59	188	188
60	191	185
61	196	183
62	198	179
63	202	176
64	206	174
65	209	171
66	215	170
67	218	166
68	221	163
69	228	163
70	231	159
71	234	156
72	238	153
73	241	150
74	245	147
75	249	144
76	252	140
77	255	137
78	259	134
79	262	131
80	265	128
81	268	124
82	271	120
83	274	117
84	277	114
85	280	110
86	283	107
87	285	103
88	289	100
89	291	97
90	293	93
91	295	89
92	299	86
93	301	83
94	303	79
95	307	76
96	310	73
97	314	70
98	317	67
99	320	64
100	322	60
101	327	57
102	329	54
103	332	51
104	334	47
105	337	44
106	339	41
107	342	38
108	344	34
109	347	31
110	350	28
111	352	25
112	356	22
113	359	18
114	361	15
115	364	12
116	367	9
117	369	6
118	372	3
119	376	0
